PorcentajeCumplimiento,CombinedFeature
0.98,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 2_Si_mayor 100_Valvula_Grado alto_no zipper
0.986,BOPA/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
1.01,BOPA/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
1.028,BOPA/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
0.975,BOPA/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
1.027,BOPA/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.029,BOPA/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
0.911,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.037,BOPA/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
1.056,BOPA/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
1.011,BOPA/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.045,BOPA/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
0.974,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
0.991,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 2_Si_mayor 100_No valvula_Grado bajo_zipper
1.079,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_mayor 70_No valvula_no troquel_no zipper
1.067,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_mayor 70_No valvula_no troquel_no zipper
0.984,BOPA/BOPA/PEBD_BOLSA_FLOW PACK_FLOW PACK_Grupo 2_NO_mayor 100_No valvula_no troquel_no zipper
1.093,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_no troquel_no zipper
0.978,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.026,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.046,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.006,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.015,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
0.999,PAPEL_ROLLO_nan_nan_Grupo 1_NO_menor igual 100_nan_nan_nan
1.011,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 1_NO_mayor 100_No valvula_Grado bajo_zipper
1.038,BOPP TERMOSELLABLE/BOPP CAVITADO_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.126,PEBD_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.04,BOPP MATE/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.056,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.134,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
1.024,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.037,PET/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
1.112,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
1.054,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.048,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.036,BOPP MATE/PEBD_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.033,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.062,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
0.957,PAPEL_ROLLO_nan_nan_Grupo 1_NO_menor igual 100_nan_nan_nan
0.943,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.012,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_no troquel_no zipper
1.135,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
0.933,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.086,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_no troquel_no zipper
1.111,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.028,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.935,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.943,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_mayor 70_No valvula_no troquel_no zipper
0.964,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_NO_menor igual 100_nan_nan_nan
0.98,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.051,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.952,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.061,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.091,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.038,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.936,BOPP MATE/PET METALIZADO/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
1.034,PEBD_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.018,PEADTS_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
1.081,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.066,BOPP TERMOSELLABLE/BOPP CAVITADO_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.038,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.064,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_zipper
1.026,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.135,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
0.86,BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.948,BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.844,BOPA/PEBD_BOLSA_FLOW PACK FUELLES INSERTADOS_FLOW PACK 4 SELLES_Grupo 3_NO_mayor 100_No valvula_no troquel_no zipper
1.053,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.029,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.027,BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.003,BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.055,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.012,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_NO_menor igual 100_nan_nan_nan
1.031,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.067,PET/PEBD_BOLSA_PLANA_LATERAL+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_no zipper
1.051,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.106,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.969,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.032,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.133,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_NO_menor igual 100_nan_nan_nan
1.014,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 1_Si_mayor 100_nan_nan_nan
0.999,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
1.04,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_mayor 70_No valvula_no troquel_zipper
0.981,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_NO_menor igual 100_nan_nan_nan
1.02,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.069,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_mayor 70_Valvula_no troquel_no zipper
1.059,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_zipper
1.067,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.085,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.942,BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.039,BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.036,BOPA/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.931,BOPP MATE/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.957,PAPEL_ROLLO_nan_nan_Grupo 1_NO_menor igual 100_nan_nan_nan
1.059,PAPEL SEPARADOR_ROLLO_nan_nan_Grupo 1_NO_menor igual 100_nan_nan_nan
1.038,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
1.023,BOPA/PEBD_BOLSA_PLANA_FLEX UP_Grupo 2_Si_mayor 100_Valvula_no troquel_no zipper
1.083,BOPP MATE/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.089,BOPP MATE/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.026,BOPP MATE/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.028,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.006,PEBD_ROLLO_nan_nan_Grupo 4_NO_menor igual 100_nan_nan_nan
1.132,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.081,BOPP MATE/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.853,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.1,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
0.933,BOPP MATE/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.038,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_NO_menor igual 70_No valvula_no troquel_no zipper
0.969,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_mayor 100_nan_nan_nan
1.097,BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.016,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
1.067,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
0.966,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
1.037,BOPP MATE/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_no zipper
1.04,BOPP MATE/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.789,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
1.03,BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.109,BOPP TERMOSELLABLE/BOPP TERMOSELLABLE_BOLSA_FLOW PACK_FLOW PACK_Grupo 1_NO_menor igual 100_No valvula_no troquel_no zipper
0.988,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_Si_menor igual 70_No valvula_no troquel_no zipper
0.99,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
1.01,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_NO_menor igual 70_No valvula_no troquel_no zipper
1.081,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.939,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
1.038,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.077,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.018,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.066,PET/FOIL/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.026,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.059,PET/PEBD_BOLSA_FLOW PACK_VENTRAL_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
1.117,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_mayor 70_No valvula_no troquel_no zipper
1.061,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.049,BOPA/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.07,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.051,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.046,PET/FOIL/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
1.031,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 1_NO_menor igual 100_nan_nan_nan
1.101,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.073,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
0.971,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
0.997,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
1.0,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.993,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
1.05,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
1.04,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
1.05,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.877,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_NO_mayor 100_No valvula_Grado bajo_zipper
1.072,PAPEL/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
1.041,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.942,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.028,PET/BOPP METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
1.127,PEADIMP/PEADTS_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.099,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
0.958,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.038,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.058,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.069,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.131,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.079,PET MATE/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.055,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.051,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.06,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 3_Si_mayor 70_Valvula_no troquel_no zipper
0.942,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_NO_menor igual 100_nan_nan_nan
1.098,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
1.05,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.022,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.935,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.02,PET MATE/PET METALIZADO/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_zipper
1.092,PET/PET METALIZADO/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 2_Si_mayor 100_nan_nan_nan
1.007,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_zipper
1.097,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
0.897,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
1.017,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.033,PET MATE/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
1.039,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.045,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_zipper
1.019,BOPP MATE/PEBD_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.04,PET/FOIL/BOPA/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 1_Si_mayor 100_nan_nan_nan
0.992,PET METALIZADO/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_NO_mayor 100_No valvula_Grado bajo_zipper
0.982,PET/FOIL/PEBD_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
1.055,BOPP MATE/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.061,PET/PEBD_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 2_Si_menor igual 100_No valvula_Grado bajo_zipper
1.021,PET/BOPP METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado alto_no zipper
1.08,PET/FOIL/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
0.997,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.04,PET/BOPP METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado alto_no zipper
1.007,BOPA/PEBD_BOLSA_PLANA_LATERAL+FONDO+PRESELLE+SEGURIDAD_Grupo 2_Si_mayor 100_No valvula_no troquel_no zipper
0.988,BOPA/PEBD_BOLSA_PLANA_LATERAL+FONDO+PRESELLE+SEGURIDAD_Grupo 2_Si_mayor 100_No valvula_no troquel_no zipper
1.054,PET/BOPP METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
1.1,PET/FOIL/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
0.991,PET/BOPP METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado alto_no zipper
1.101,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.021,PET/FOIL/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
1.042,PET/FOIL/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
1.126,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 2_Si_mayor 70_Valvula_no troquel_no zipper
1.072,PET/FOIL/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
0.981,PEADTS-AB_BOLSA_PLANA_LATERAL+FONDO+PRESELLE+SEGURIDAD_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
